n_ActionID,c_Competition,n_MatchID,c_HomeTeam,c_AwayTeam,n_HomeGoals,n_AwayGoals,d_Date,c_Action,c_Period,n_StartTime,n_Endtime,n_HomeOrAway,n_TeamID,c_Team,n_personid,c_person,c_Function,n_ShirtNr,c_ActionReason,c_actionInfo,n_Subpersonid,c_Subperson
27730219,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,5620000,5620000,-1,4010,Aston Villa,1080366,John McGinn,NULL,NULL,Handball,NULL,0,NULL
27730214,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Free kick,Second half,5667000,5667000,-1,4075,Liverpool,450636,James Milner,NULL,NULL,NULL,Right foot,0,NULL
27730189,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Yellow,Second half,5634000,5634000,1,4034,Chelsea,838446,Marcos Alonso,NULL,NULL,Tackle,NULL,0,NULL
27730187,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Foul committed,Second half,5629000,5629000,1,4034,Chelsea,838446,Marcos Alonso,NULL,NULL,Tackle,NULL,1179328,Andrew Robertson
27730185,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Goal kick,Second half,5574000,5574000,-1,4010,Aston Villa,633151,Tom Heaton,NULL,NULL,NULL,NULL,0,NULL
27730179,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Shot wide,Second half,5546000,5546000,1,4007,Arsenal,1321625,Lucas Torreira,NULL,NULL,NULL,Left foot,0,NULL
27730145,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,5522000,5522000,1,4007,Arsenal,828604,Bernd Leno,NULL,NULL,NULL,Right foot,0,NULL
27730140,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Yellow,Second half,5514000,5514000,1,4007,Arsenal,828604,Bernd Leno,NULL,NULL,Delay of game,NULL,0,NULL
27730107,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,5463000,5463000,-1,4010,Aston Villa,854807,Neil Taylor,NULL,NULL,Rough play,NULL,1321625,Lucas Torreira
27730076,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Goal kick,Second half,5504000,5504000,-1,4075,Liverpool,774899,Adrián,NULL,NULL,NULL,NULL,0,NULL
27730068,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Free kick,Second half,5438000,5438000,-1,4010,Aston Villa,875846,Conor Hourihane,NULL,NULL,NULL,Left foot,0,NULL
27724044,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Substitution,Second half,5488000,NULL,-1,4075,Liverpool,1298168,Joe Gomez,Defender,12,NULL,NULL,844196,Mohamed Salah
27689124,Premier League,2375272,Chelsea,Liverpool,1,2,22-Sep-19,Line-up,Start,NULL,5488000,-1,4075,Liverpool,844196,Mohamed Salah,Forward,11,NULL,NULL,0,NULL
27730061,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Foul committed,Second half,5416000,5416000,1,4007,Arsenal,1078563,Calum Chambers,NULL,NULL,Rough play,NULL,1128670,Tyrone Mings
27730047,Premier League,2375271,Arsenal,Aston Villa,3,2,22-Sep-19,Injury time,Second half,5406000,5406000,0,0,NULL,0,NULL,NULL,NULL,NULL,300000,0,NULL
